#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name
QS0011260732;05-05-2025;;QS0011260732;FR;EEMHN;ESI Excellence Europe Hedged w multip NR;XPAR;1;0.00;0;0;0;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260UNH;05-05-2025;;QS0011260UNH;NL;EEUNH;ESI UNHEDGED RETURN;XAMS;2466.84;0.87;.87;.865727;2135.61;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260SEK;05-05-2025;;QS0011260SEK;NL;EESEK;ESI SEK FWD RETURN;XAMS;.100578603561639;0.00;0;0;0;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260NOK;05-05-2025;;QS0011260NOK;NL;EENOK;ESI NOK FWD RETURN;XAMS;.102070578232377;0.00;0;0;0;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260HDG;05-05-2025;;QS0011260HDG;NL;EEHDG;ESI HEDGED RETURN;XAMS;1;0.01;.01;.01;-1.26056466;3;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;1;
QS0011260GBP;05-05-2025;;QS0011260GBP;NL;EEGBP;ESI GBP FWD RETURN;XAMS;1.18381441578167;0.00;0;0;0;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260FWD;05-05-2025;;QS0011260FWD;NL;EEFWD;ESI TOTAL FWD RETURN;XAMS;1;2.13;2.13;2.12629166;2.12629166;6;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260DKK;05-05-2025;;QS0011260DKK;NL;EEDKK;ESI DKK FWD RETURN;XAMS;.134425161379087;1.00;1;.9968755;.13400515;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011260CHF;05-05-2025;;QS0011260CHF;NL;EECHF;ESI CHF FWD RETURN;XAMS;.945903763751076;1.13;1.13;1.12941616;1.068319;1;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;
QS0011256250;05-05-2025;;QS0011256250;NL;ENVBG;Euronext Sustainable Benelux 20 GR Index;XAMS;;3336.22;3408.48;3408.4806829;;;;;QS0011256235;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011256243;05-05-2025;;QS0011256243;NL;ENVBN;Euronext Sustainable Benelux 20 NR Index;XAMS;;3060.05;3126.33;3126.32782769;;;;;QS0011256235;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011256235;05-05-2025;;QS0011256235;NL;ENVB;Euronext Sustainable Benelux 20 Index;XAMS;885.962564982093;2076.07;2121.04;2121.03894353;1879161.1028365;20;EUR;1;;QS0011256250;QS0011256243;;;;ECB;EU Price;Indices;;;;;0;
QS0011256227;05-05-2025;;QS0011256227;NL;ENVOG;Euronext Sustainable Euro 120 GR Index;XAMS;;3277.40;3321.21;3321.21192734;;;;;QS0011256201;;;4.05035137392813;;DE0005552004 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011256219;05-05-2025;;QS0011256219;NL;ENVON;Euronext Sustainable Euro 120 NR Index;XAMS;;2891.43;2929.47;2929.46879987;;;;;QS0011256201;;;;3.02696422370322;DE0005552004 FR0000052292 FR0000120321 FR0000120503 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011256201;05-05-2025;;QS0011256201;NL;ENVEO;Euronext Sustainable Euro 120 Index;XAMS;818.114505899359;1985.47;2010.42;2010.42464122;1644757.56199561;120;EUR;1;;QS0011256227;QS0011256219;;;;ECB;EU Price;Indices;;;;;0;
QS0011256169;05-05-2025;;QS0011256169;NL;ENVU;Euronext Sustainable US 50;XAMS;840.550907981191;3604.05;3642.84;3642.84191609;3061994.0801994;50;USD;1;;QS0011256193;QS0011256185;;;;WM ;EU Price;Indices;;;;;0;
QS0011250956;05-05-2025;;QS0011250956;NL;ENVUG;Euronext Sustainable UK 20 GR Index;XAMS;;1964.16;1986.53;1986.53254558;;;;;QS0011250931;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011250949;05-05-2025;;QS0011250949;NL;ENVUN;Euronext Sustainable UK 20 NR Index;XAMS;;1937.56;1959.63;1959.63400631;;;;;QS0011250931;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011250931;05-05-2025;;QS0011250931;NL;ENVUK;Euronext Sustainable UK 20 Index;XAMS;76177.3820347972;1179.03;1192.46;1192.45936248;90838432.416895;20;GBX;1;;QS0011250956;QS0011250949;;;;ECB;EU Price;Indices;;;;;0;
QS0011250923;05-05-2025;;QS0011250923;NL;ENVFG;Euronext Sustainable France 20 GR Index;XAMS;;2491.69;2524.03;2524.0314939;;;;;QS0011250907;;;5.55808046897545;;FR0000052292 FR0000120321 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011250915;05-05-2025;;QS0011250915;NL;ENVFN;Euronext Sustainable France 20 NR Index;XAMS;;2162.66;2190.74;2190.73824227;;;;;QS0011250907;;;;4.16856035173778;FR0000052292 FR0000120321 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011250907;05-05-2025;;QS0011250907;NL;ENVF;Euronext Sustainable France 20 Index;XAMS;808.192464210226;1514.91;1534.57;1534.57412527;1240231.24381265;20;EUR;1;;QS0011250923;QS0011250915;;;;ECB;EU Price;Indices;;;;;0;
QS0011250899;05-05-2025;;QS0011250899;NL;ENVEG;Euronext Sustainable Europe 120 GR Index;XAMS;;3127.23;3166.29;3166.28951525;;;;;QS0011250873;;;2.96137738487572;;DE0005552004 FR0000052292 FR0000120321 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011250881;05-05-2025;;QS0011250881;NL;ENVEN;Euronext Sustainable Europe 120 NR Index;XAMS;;2802.70;2837.11;2837.11418256;;;;;QS0011250873;;;;2.2106563464675;DE0005552004 FR0000052292 FR0000120321 FR0000120628 FR0000120644 FR0000121485;ECB;TR1;Indices;;;;;0;
QS0011250873;05-05-2025;;QS0011250873;NL;ENVEU;Euronext Sustainable Europe 120 Index;XAMS;864.815688496749;1886.95;1909;1908.99598263;1650929.67505833;120;EUR;1;;QS0011250899;QS0011250881;;;;ECB;EU Price;Indices;;;;;0;
QS0011250840;05-05-2025;;QS0011250840;NL;ENVW;Euronext Sustainable World 120;XAMS;859.618263018648;1981.10;1998.52;1998.52039392;1717964.62962516;120;USD;1;;QS0011250865;QS0011250857;;;;WM ;EU Price;Indices;;;;;0;
QS0011249503;05-05-2025;;QS0011249503;PT;PTOGP;PSI Energy;XLIS;8178087.9852;1159.44;1164.12;1164.11564626;9520240180.05;1;EUR;1;;QS0011249495;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249495;05-05-2025;;QS0011249495;PT;PTOG;PSI Energy GR;XLIS;;1844.05;1851.49;1851.4922325;;;;;QS0011249503;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249487;05-05-2025;;QS0011249487;PT;PTHCP;PSI Health Care;XLIS;.0005589285714286;1789.14;1789.14;1789.13738019;1;1;EUR;1;;QS0011249479;;;;;ECB;EU Price;Indices;;;;;0;
QS0011249479;05-05-2025;;QS0011249479;PT;PTHC;PSI Health Care GR;XLIS;;0.00;0;0;;;;;QS0011249487;;;0;;;ECB;TR1;Indices;;;;;0;
QS0011249248;05-05-2025;;QS0011249248;BE;BEOGP;BEL Energy;XBRU;82819753.4962303;1405.25;1397.23;1397.22802686;115718080762.86;2;EUR;1;;;QS0011249230;;;;ECB;EU Price;Indices;;;;;0;
QS0011249230;05-05-2025;;QS0011249230;BE;BEOG;BEL Energy NR;XBRU;;2316.91;2303.68;2303.68135786;;;;;QS0011249248;;;;0;;ECB;TR1;Indices;;;;;0;
QS0011227186;05-05-2025;;QS0011227186;FR;ALASG;Euronext Growth All-Share Index GR;XPAR;;1029.93;1033.07;1033.06562625;;;;;QS0011040902;;;.45564020489485;;IT0001214433 IT0005203424 IT0005246142 IT0005257347 IT0005338675 IT0005384901 IT0005386369 IT0005430951 IT0005525347 IT0005549255;ECB;TR1;Indices;;;;;0;
QS0011227178;05-05-2025;;QS0011227178;FR;ALASN;Euronext Growth All-Share Index NR;XPAR;;987.39;990.4;990.39697639;;;;;QS0011040902;;;;.33717375162219;IT0001214433 IT0005203424 IT0005246142 IT0005257347 IT0005338675 IT0005384901 IT0005386369 IT0005430951 IT0005525347 IT0005549255;ECB;TR1;Indices;;;;;0;
